Year,SP500_Return,Interest _Rate,Inflation_CPI,GDP_Growth,Unemployment_rate,eps_growth,cape_rate ,Yield_10y,VIX_Index
2005,0.03,0.032,0.0339,0.0384,0.0508,0.1927,26.06,0.0437,12.81
2006,0.1362,0.0494,0.0323,0.0278,0.0462,0.1673,27.51,0.047,12.95
2007,0.0353,0.0502,0.0285,0.02,0.0462,0.0265,27.34,0.0455,17.54
2008,-0.3849,0.0192,0.0384,0.0011,0.0578,-0.7052,15.16,0.0372,32.69
2009,0.2345,0.0016,-0.0036,-0.0258,0.0925,2.0946,20.68,0.0342,31.48
2010,0.1278,0.0018,0.0164,0.027,0.0963,0.03742,22.23,0.0319,22.55
2011,0,0.001,0.0316,0.0156,0.0895,0.1555,21.03,0.028,24.2
2012,0.1341,0.0014,0.0207,0.0229,0.0807,0.0619,22.14,0.018,17.8
2013,0.296,0.0011,0.0146,0.0212,0.0738,0.0547,25.98,0.026,14.23
2014,0.1139,0.0009,0.0162,0.0252,0.0617,0.0601,27.32,0.0245,14.18
2015,-0.0073,0.0013,0.0012,0.0295,0.0528,-0.1578,25.94,0.0214,16.67
2016,0.0954,0.004,0.0126,0.0182,0.0487,0.0583,28.12,0.0184,15.83
2017,0.1942,0.0079,0.0213,0.0246,0.436,0.1762,30.24,0.024,11.1
2018,-0.0624,0.0183,0.0244,0.0297,0.039,0.2069,26.04,0.0283,16.64
2019,0.2888,0.0216,0.0181,0.0258,0.0367,-0.0246,30.38,0.205,15.39
2020,0.1626,0.0036,0.0123,-0.0216,0.0806,-0.1371,33.82,0.0089,29.25
2021,0.2689,0.0008,0.047,0.0606,0.0535,1.1021,38.32,0.0143,19.67
2022,-0.1944,0.0168,0.08,0.0251,0.0365,-0.127,28.91,0.0295,25.64
2023,0.2423,0.043,0.0412,0.0289,0.0364,0.01139,31.34,0.043,17.87
2024,0.2331,0.0533,0.0295,0.028,0.0411,0.0922,32.45,0.0435,15.1
